Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
1,MH,2000,4657175.728,3159951.807,104.2621891,18.72358209,9.410248756,461.3210945,1047.928856
2,MH,2001,4657175.728,3159951.807,104.2621891,18.72358209,9.410248756,461.3210945,1047.928856
3,MH,2002,4657175.728,3159951.807,104.2621891,18.72358209,9.410248756,461.3210945,1047.928856
6,N,2002,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
4,MH,2003,4657175.728,3159951.807,104.2621891,18.72358209,9.410248756,461.3210945,1047.928856
7,N,2003,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
5,MH,2004,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
8,N,2004,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
337,NO,2004,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
9,N,2005,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
13,NO,2005,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
338,DZ,2005,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
10,N,2006,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
14,NO,2006,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
24,Z,2006,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
34,DZ,2006,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
11,N,2007,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
15,NO,2007,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
25,Z,2007,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
35,DZ,2007,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
44,LUE,2007,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
53,UEM,2007,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
64,DN,2007,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
339,MI,2007,4630944.611,3145946.852,104.2687407,38.43185665,10.99268293,353.942011,379.8758586
12,N,2008,4630753.258,3160184.251,104.7867907,19.74765007,12.5733824,232.2487194,790.4674989
16,NO,2008,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
26,Z,2008,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
36,DZ,2008,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
45,LUE,2008,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
54,UEM,2008,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
65,DN,2008,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
73,MI,2008,4630944.611,3145946.852,104.2687407,38.43185665,10.99268293,353.942011,379.8758586
81,RW,2008,4287149.573,3170280.836,103.5758405,101.5717625,13.57589019,113.0515218,408.6942013
84,KRH,2008,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
346,WE,2008,4611075.566,3176051.282,103.9234328,63.80920398,17.82661692,149.5599005,470.5585075
347,AG,2008,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
17,NO,2009,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
27,Z,2009,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
37,DZ,2009,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
46,LUE,2009,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
55,UEM,2009,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
66,DN,2009,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
74,MI,2009,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
82,RW,2009,4287149.573,3170280.836,103.5758405,101.5717625,13.57589019,113.0515218,408.6942013
85,KRH,2009,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
91,SL,2009,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
98,WE,2009,4611075.566,3176051.282,103.9234328,63.80920398,17.82661692,149.5599005,470.5585075
102,AG,2009,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
109,JW,2009,4529444.986,3222361.279,103.6960394,71.0031844,14.27410688,283.5873719,527.4167579
18,NO,2010,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
28,Z,2010,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
38,DZ,2010,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
47,LUE,2010,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
56,UEM,2010,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
67,DN,2010,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
